TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Ciência e Tecnologia,Pesquisa Científica,qt1,Qual o número de bolsas de pesquisa dadas à pós graduação da UFBA?,qt1.csv,codigo_v00.R,https://proplan.ufba.br/estatisticas/ufba-em-numeros,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_cienciaetecnologia_pesquisa,,anual,barra lado a lado,Número de bolsas de pesquisa concedidas pela UFBA à pós graduação
Ciência e Tecnologia,Pesquisa Científica,qt2,Qual o número de bolsas de pesquisa a FAPESB concedeu?,qt2.csv,codigo_v01.R,http://www.fapesb.ba.gov.br/transparencia/#,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_cienciaetecnologia_pesquisa,,anual,barra,Número de bolsas de pesquisa concedidas pela FAPESB
Ciência e Tecnologia,Pesquisa Científica,qt3,Qual foi o gasto total da FAPESB em bolsas de pesquisa?,qt3.csv,codigo_v02.R,http://www.fapesb.ba.gov.br/transparencia/#,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_cienciaetecnologia_pesquisa,,anual,linha,Gasto anual da FAPESB em bolsas de pesquisa
