"TEMA";"SUBTEMA";"PERGUNTA";"NOME_ARQUIVO_JS"
"Ciência e Tecnologia";"Pesquisa Científica";"Qual o número de bolsas de pesquisa dadas à pós graduação da UFBA?";"qt1.csv"
"Ciência e Tecnologia";"Pesquisa Científica";"Qual o número de bolsas de pesquisa a FAPESB concedeu?";"qt2.csv"
"Ciência e Tecnologia";"Pesquisa Científica";"Qual foi o gasto total da FAPESB em bolsas de pesquisa?";"qt3.csv"
